people,probs,odds,log_odds
1,0,0,-6.907755278982137
2,0.002739726027397249,0.0027472527472527358,-5.586732308215473
3,0.008204165884781345,0.008272030999303686,-4.680752829625892
4,0.016355912466550326,0.016627876560071458,-4.0382737345188895
5,0.02713557369979358,0.027892451369601307,-3.5441749162656553
6,0.040462483649111536,0.042168735416401384,-3.142638762954727
7,0.056235703095975365,0.0595865972896559,-2.8036815772052215
8,0.07433529235166902,0.08030477097967716,-2.509550580513324
9,0.09462383388916673,0.10451328125373159,-2.2489184453283655
10,0.11694817771107757,0.13243636982475274,-2.0141305452924647
11,0.1411413783217329,0.16433598587615414,-1.7997755974482454
12,0.16702478883806426,0.20051591764066742,-1.601886904980076
13,0.19441027523242949,0.2413266570505488,-1.417468640493971
14,0.22310251200497289,0.2871711074529835,-1.2442008521668093
15,0.25290131976368635,0.3385112655850115,-1.0802481496620213
16,0.28360400525285,0.3958760341100836,-0.9241313037068689
17,0.31500766529656077,0.45987035086011624,-0.7746385101161026
18,0.3469114178717896,0.531185856505582,-0.6307624963167081
19,0.37911852603153673,0.6106133649122111,-0.49165495279154364
20,0.41143838358057994,0.6990574514247311,-0.3565928738426733
21,0.44368833516520556,0.7975535355652947,-0.22495326840819138
22,0.4756953076625501,0.9072879083759675,-0.09619387093077561
23,0.5072972343239853,1.0296212436070786,0.03016176955329855
24,0.538344257914529,1.166116239522176,0.1545359537615888
25,0.5686997039694639,1.3185701684035012,0.277306053571972
26,0.598240820135939,1.4890532690214062,0.3988118703393932
27,0.626859282263242,1.6799541097133128,0.5193615546566468
28,0.6544614723423994,1.8940332841578673,0.6392364025795432
29,0.680968537477777,2.1344870881828535,0.7586947650075644
30,0.7063162427192688,2.4050231761510186,0.8779752501540645
31,0.7304546337286439,2.7099506247615563,0.9972993574261253
32,0.7533475278503207,3.0542873593951128,1.1168736501951335
33,0.774971854175772,3.4438885470847325,1.2368915518623786
34,0.7953168646201543,3.885600360499782,1.3575348322029983
35,0.8143832388747152,4.387444506291299,1.478974837713458
36,0.8321821063798795,4.958840135746439,1.6013735095211337
37,0.8487340082163846,5.610871275220212,1.724884224560935
38,0.8640678210821209,6.356609803217612,1.8496524896109356
39,0.8782196643667219,7.211506355273478,1.9758165129809324
40,0.891231809817949,8.19386447753013,2.103507674844913
41,0.9031516114817354,9.325417028610758,2.232850914157837
42,0.9140304715618692,10.632028442725083,2.3639650476136533
43,0.9239228556561199,12.144552264998929,2.4969630340426776
44,0.9328853685514263,13.899880673057801,2.6319521959035694
45,0.940975899465775,15.94223191796293,2.7690344080147113
46,0.9482528433672547,18.324733281426433,2.9083062623296354
47,0.9547744028332993,21.111371936428355,3.049859216345402
48,0.9605979728794225,24.379404895586077,3.1937797316094803
49,0.9657796093226765,28.222343176305696,3.3401494077390224
50,0.9703735795779884,32.753655884024,3.4890451163745397
51,0.9744319933344283,38.11137904021822,3.6405391385531733
52,0.9780045093342753,44.46386417095425,3.794699308106226
53,0.9811381134839128,52.01696620574534,3.951589162865321
54,0.9838769627588515,61.02305341377272,4.111268104708867
55,0.9862622888164461,71.79232956921874,4.2737915688027615
56,0.9883323548852008,84.70709771859627,4.439211201794147
57,0.9901224593411699,100.23977562228977,4.607575048210409
58,0.9916649793892612,118.97570812381787,4.778927743901952
59,0.992989448417817,141.64212855111927,4.9533107150477695
60,0.994122660865348,169.14502261816514,5.130762381016859
